codigo,nome,precovenda,preco1,preco2,preco3,precocusto,customedio,estoque,estminimo,unidade,marca,familia,grupo,subgrupo,ncm,gtin,inativo
2890004470019,JAN MISTA 1X1.20 RETA AV,150,150,0,0,103,0,0,0,UN,,,,,85183000,2890004470019,N
2890004480018,JAN MAC 1.2X1.2RETA TODA ALM,270,270,0,0,185,0,0,0,UN,,,,,85183000,2890004480018,N
2890004490017,JAN MAC 60X1.10RETA,85,85,0,0,0,0,0,0,UN,,,,,85183000,2890004490017,N
2890004500013,JAN MAC 60X1.20RETA,85,85,0,0,0,0,0,0,UN,,,,,85183000,2890004500013,N
2890004530010,JAN CALHA 60 X110,19,19,0,0,0,0,0,0,UN,,,,,85183000,2890004530010,N
2890004540019,JAN CALHA 70X110,19.5,19.5,0,0,0,0,0,0,UN,,,,,85183000,2890004540019,N
2890004560017,JOELHO ESGOTO 40MM C/ANEL FORTLEV,4,4,4.2,4.5,1.65,0,-1,6,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890004560017,N
2890004570016,JOELHO ESGOTO 40MMX45°,2.8,2.8,3,3.5,1.72,0,-17,6,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890004570016,N
2890004580015,JOELHO ESGOTO 40MM FORTLEV,1.5,1.5,1.5,1.5,0.46,0,-159,24,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890004580015,N
2890004620018,JOELHO ESGOTO 150MM FORTLEV,46,46,47,48,23,0,-1,1,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890004620018,N
2890004640016,JOELHO ESGOTO 100X50MM C/VISITA,26.99,26.99,26.99,26.99,11.71,0,-4,4,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890004640016,N
2890004650015,JOELHO SOLD LR AZUL 20X1/2,5.99,5.99,5.99,5.99,2.9,0,-98,18,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004650015,N
2890004680012,JOELHO SOLD LL 20MM,0.85,0.85,0.8,0.8,0.25,0,-371,36,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004680012,N
2890004710016,JOELHO SOLD LL 32X25MM,3,3,3.5,4,0,0,0,4,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004710016,N
2890004730014,JOELHO SOLD LL 40MM,5.5,5.5,5,5,2.45,1.86,6,4,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004730014,N
2890004740013,JOELHO SOLD LL 50MM,6.5,6.5,7,7.5,2.67,2.67,-8,6,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004740013,N
2890004760011,JOELHO SOLD LR 25X1/2,2.5,2.5,2.8,3.5,1.76,0,-10,10,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004760011,N
2890004770010,JOELHO SOLD LR 25X3/4,3.8,3.8,4,4.5,1.34,0,-4,12,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004770010,N
2890004790018,JOELHO ROSCA BRANCA 1/2,2.5,2.5,2.8,3,0.92,0,-4,6,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004790018,N
2890004800014,JOELHO ROSCA BRANCA 3/4,5,5,5,5,3.17,3.17,19,3,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890004800014,N
2890004850019,JUNCAO ESGOTO 100X50MM,20.9,20.9,21.9,23,8.28,0,-1,3,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890004850019,N
2890004860018,JUNCAO ESGOTO 100X75MM,15,15,15.5,16,6.85,0,-1,4,UN,,DIVERSOS,CONEXOES,ESGOTO,39174090,2890004860018,N
2890004960015,LAMINA DE SERRA STARRET,13.5,13.5,13.5,13.5,7.91,11.24,61,10,UN,,,,,82029100,2890004960015,N
2890005050012,LANCA P/MURO,26,26,25,25,15.75,13.65,-10.949,0,KG,,,,,72122010,2890005050012,N
2890005150019,LINHA P/PEDEIRO 50M,5.5,5.5,5,5,2.06,2.5,12,6,UN,,,,,56074900,2890005150019,N
2890005160018,LINHA P/PEDEIRO 100M TRANCADA,8,8,7.5,7.5,3.37,0,1,4,UN,,,,,56074900,2890005160018,N
2890005180016,LIXA FERRO 150,4.7,4.7,4.7,4.7,2.07,0,-48,0,UN,,,,,68051000,2890005180016,N
2890005190015,LIXA MASSA 60,1.3,1.3,0,0,0.7,0.63,-67,0,UN,,,,,68051000,2890005190015,N
2890005250016,LUVA LL 20MM,0.9,0.9,0.9,0.85,0.36,0,-175,20,UN,,DIVERSOS,CONEXOES,AGUA,39174090,2890005250016,N
